id,kepid,koi_name,kepler_name,disposition,pdisposition,score,period,radius_planet,temp_planet_eq,insolation,duration,depth,model_snr,temp_star_eq,radius_star,mag_star,ra,dec,star_type
108,5358241,K00829.01,Kepler-53 b,CONFIRMED,CANDIDATE,1.0,18.64932728,3.12,701.0,57.13,4.4056,893.6,46.1,5775.0,1.053,15.386,290.46176,40.562462,Sun-like
109,10875245,K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE,1.0,4.90144976,1.7,1262.0,598.74,4.1654,140.7,50.6,5847.0,1.402,12.487,297.02826,48.208611,Sun-like
110,5358241,K00829.02,Kepler-53 d,CONFIRMED,CANDIDATE,0.998,9.75192101,2.76,870.0,135.66,4.793,418.0,28.5,5775.0,1.053,15.386,290.46176,40.562462,Sun-like
111,5358241,K00829.03,Kepler-53 c,CONFIRMED,CANDIDATE,1.0,38.5576546,4.02,550.0,21.71,5.794,993.0,39.7,5775.0,1.053,15.386,290.46176,40.562462,Sun-like
112,5358624,K00830.01,Kepler-428 b,CONFIRMED,CANDIDATE,0.99,3.525632539,11.58,975.0,213.12,2.59959,22335.0,1996.7,5150.0,0.793,15.224,290.58173,40.5774,Orange
113,4544670,K00815.01,Unnamed,CANDIDATE,CANDIDATE,1.0,34.84398644,7.61,511.0,16.1,2.9315,4523.6,76.8,5509.0,0.871,15.684,285.92001,39.624828,Sun-like
114,4664847,K00816.01,Kepler-690 b,CONFIRMED,CANDIDATE,1.0,7.748094239,5.52,964.0,204.39,3.5957,2472.1,113.2,5973.0,1.085,15.67,294.4899,39.771439,Sun-like
115,4725681,K00817.01,Kepler-236 c,CONFIRMED,CANDIDATE,1.0,23.96793669,1.8,329.0,2.77,3.827,1182.3,27.5,3747.0,0.524,15.414,283.86639,39.898079,Orange
116,4913852,K00818.01,Kepler-691 b,CONFIRMED,CANDIDATE,1.0,8.11437482,2.1,460.0,10.55,2.2736,1558.0,56.4,3692.0,0.517,15.877,288.81201,40.033401,Red Dwarf
117,4932348,K00819.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,38.036729482,27.5,500.0,14.81,4.34617,82872.0,1300.0,5575.0,0.932,15.472,294.14789,40.055538,Sun-like
118,4936180,K00820.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,4.64090031,30.09,1155.0,421.08,35.512,2450.6,296.9,6463.0,0.826,15.27,295.11371,40.071171,White
119,11913073,K00011.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,3.747838198,13.65,1031.0,266.76,5.0642,616.0,138.2,5514.0,0.826,13.496,291.06152,50.265129,Sun-like
120,10875245,K00117.01,Kepler-107 e,CONFIRMED,CANDIDATE,0.992,14.74914825,2.89,874.0,137.91,6.0995,430.2,107.4,5847.0,1.402,12.487,297.02826,48.208611,Sun-like
121,5021899,K00821.01,Kepler-692 b,CONFIRMED,CANDIDATE,1.0,21.81295996,3.38,639.0,39.33,4.3791,1175.4,37.8,5601.0,0.999,15.54,294.77686,40.15374,Sun-like
122,5077629,K00822.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,7.91936937,10.34,814.0,104.0,3.3148,15148.0,389.0,5690.0,0.776,15.805,283.53845,40.217999,Sun-like
124,5164255,K00824.01,Kepler-693 b,CONFIRMED,CANDIDATE,1.0,15.37562369,11.01,600.0,30.54,3.3169,15337.0,166.0,4986.0,0.833,16.422,283.25354,40.358189,Orange
125,5252423,K00825.01,Kepler-237 c,CONFIRMED,CANDIDATE,1.0,8.10363271,2.11,687.0,52.82,3.161,887.9,39.3,4861.0,0.732,15.289,283.22141,40.421829,Orange
126,5252423,K00825.02,Kepler-237 b,CONFIRMED,CANDIDATE,1.0,4.71510843,1.46,823.0,108.84,2.506,417.5,21.3,4861.0,0.732,15.289,283.22141,40.421829,Orange
127,5272878,K00826.01,Kepler-694 b,CONFIRMED,CANDIDATE,1.0,6.365839713,2.44,914.0,165.33,2.9721,780.7,70.8,5776.0,0.849,15.09,291.14951,40.420521,Sun-like
128,5283542,K00827.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.037,5.97581754,3.86,1047.0,284.25,3.065,962.4,50.3,6108.0,0.997,15.546,294.22397,40.417858,White
129,5649215,K00839.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,2.446737317,26.25,1261.0,597.19,4.7211,1177.9,110.2,5764.0,0.863,15.021,298.96112,40.862808,Sun-like
130,5651104,K00840.01,Kepler-695 b,CONFIRMED,CANDIDATE,1.0,3.04033046,8.99,1021.0,257.29,1.8411,10859.0,568.2,5035.0,0.791,15.028,299.3161,40.82238,Orange
131,5792202,K00841.01,Kepler-27 b,CONFIRMED,CANDIDATE,1.0,15.33528675,5.0,610.0,32.67,3.897,3081.4,86.6,5251.0,0.817,15.855,292.23676,41.08588,Sun-like
132,10875245,K00117.04,Kepler-107 d,CONFIRMED,CANDIDATE,0.998,7.95825328,1.06,1074.0,314.15,4.377,50.0,14.7,5847.0,1.402,12.487,297.02826,48.208611,Sun-like
133,5792202,K00841.02,Kepler-27 c,CONFIRMED,CANDIDATE,1.0,31.33046135,6.5,481.0,12.61,5.176,5073.8,117.2,5251.0,0.817,15.855,292.23676,41.08588,Sun-like
134,5370302,K00831.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.006,3.9043425,12.28,1104.0,351.05,3.831,16228.0,323.4,5810.0,0.898,15.016,294.05676,40.549679,Sun-like
135,5372966,K00832.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,9.286358079,17.61,796.0,95.03,3.49949,44791.0,1671.1,5670.0,0.821,15.365,294.74396,40.53392,Sun-like
136,5376067,K00833.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,3.951405455,31.44,1133.0,388.71,2.1862,2453.9,117.2,6046.0,0.869,15.446,295.50439,40.505489,White
137,5436502,K00834.01,Kepler-238 e,CONFIRMED,CANDIDATE,0.999,23.65369415,7.89,731.0,67.65,8.2183,3341.8,266.3,5739.0,1.384,15.084,287.89713,40.637821,Sun-like
138,5436502,K00834.02,Kepler-238 d,CONFIRMED,CANDIDATE,0.996,13.23352214,3.06,888.0,146.67,6.7372,504.6,49.1,5739.0,1.384,15.084,287.89713,40.637821,Sun-like
139,5436502,K00834.03,Kepler-238 c,CONFIRMED,CANDIDATE,0.997,6.15560285,2.32,1146.0,406.94,4.9843,285.0,35.1,5739.0,1.384,15.084,287.89713,40.637821,Sun-like
140,5436502,K00834.04,Kepler-238 b,CONFIRMED,CANDIDATE,1.0,2.090811305,1.62,1642.0,1718.04,3.388,115.9,19.9,5739.0,1.384,15.084,287.89713,40.637821,Sun-like
141,10875245,K00117.03,Kepler-107 b,CONFIRMED,CANDIDATE,0.995,3.180027898,1.53,1458.0,1066.86,3.5797,120.3,50.4,5847.0,1.402,12.487,297.02826,48.208611,Sun-like
142,5436502,K00834.05,Kepler-238 f,CONFIRMED,CANDIDATE,0.989,50.4467417,2.67,568.0,24.64,7.159,370.3,19.4,5739.0,1.384,15.084,287.89713,40.637821,Sun-like
143,5456651,K00835.01,Kepler-239 b,CONFIRMED,CANDIDATE,1.0,11.76307164,2.35,616.0,33.99,2.9076,1037.3,48.9,4959.0,0.756,15.208,294.20215,40.66341,Orange
144,5456651,K00835.02,Kepler-239 c,CONFIRMED,CANDIDATE,0.878,56.2279271,2.37,366.0,4.22,3.57,862.7,20.9,4959.0,0.756,15.208,294.20215,40.66341,Orange
145,5481416,K00836.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,2.384052875,17.06,1010.0,244.87,3.0918,1268.1,50.5,4794.0,0.701,15.836,299.64285,40.691238,Orange
146,5531576,K00837.01,Kepler-240 c,CONFIRMED,CANDIDATE,1.0,7.953547,2.25,696.0,55.37,2.6312,875.4,38.4,4768.0,0.779,15.66,291.15878,40.750271,Orange
147,5531576,K00837.02,Kepler-240 b,CONFIRMED,CANDIDATE,1.0,4.14451656,1.48,864.0,132.08,2.3421,391.8,22.8,4768.0,0.779,15.66,291.15878,40.750271,Orange
148,5534814,K00838.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,4.859386384,38.33,1114.0,364.23,2.2757,6044.3,269.7,6072.0,0.988,15.311,292.21436,40.759762,White
149,6291653,K00850.01,Kepler-702 b,CONFIRMED,CANDIDATE,0.999,10.526294577,8.24,713.0,61.16,2.5211,9768.0,482.3,5386.0,0.793,15.305,293.87811,41.66177,Sun-like
150,6392727,K00851.01,Kepler-703 b,CONFIRMED,CANDIDATE,1.0,4.583520948,5.39,1038.0,274.98,2.7055,3812.1,99.5,5815.0,0.877,15.287,299.18686,41.74268,Sun-like
151,6422070,K00852.01,Kepler-704 b,CONFIRMED,CANDIDATE,0.876,3.76181843,2.66,1121.0,372.62,3.5176,510.6,35.9,5653.0,0.949,15.257,283.31638,41.83712,Sun-like
152,6428700,K00853.01,Kepler-242 b,CONFIRMED,CANDIDATE,1.0,8.20396958,3.01,742.0,71.5,2.9667,1024.4,54.4,5015.0,0.826,15.376,286.5657,41.808399,Orange
153,6428700,K00853.02,Kepler-242 c,CONFIRMED,CANDIDATE,1.0,14.49645186,3.01,613.0,33.48,4.016,647.5,25.7,5015.0,0.826,15.376,286.5657,41.808399,Orange
154,5792202,K00841.03,Unnamed,CANDIDATE,CANDIDATE,1.0,6.54626149,2.19,810.0,101.78,2.75,655.9,24.8,5251.0,0.817,15.855,292.23676,41.08588,Sun-like
155,5794379,K00842.01,Kepler-241 b,CONFIRMED,CANDIDATE,1.0,12.71809866,2.31,562.0,23.6,3.0957,1149.4,52.7,4702.0,0.686,15.389,292.91312,41.060921,Orange
156,5794379,K00842.02,Kepler-241 c,CONFIRMED,CANDIDATE,0.999,36.06588163,2.64,397.0,5.88,4.3246,1563.8,51.7,4702.0,0.686,15.389,292.91312,41.060921,Orange
157,5881688,K00843.01,Kepler-696 b,CONFIRMED,CANDIDATE,1.0,4.190425659,6.21,1234.0,547.9,2.8589,2877.4,240.6,6073.0,1.135,15.27,293.49661,41.137589,White
158,6022556,K00844.01,Kepler-697 b,CONFIRMED,CANDIDATE,1.0,3.709870784,4.35,1151.0,415.1,3.0694,2020.3,116.1,5727.0,0.978,15.581,283.86441,41.346458,Sun-like
159,6032497,K00845.01,Kepler-698 b,CONFIRMED,CANDIDATE,1.0,16.3297527,3.75,727.0,66.08,6.271,1187.5,74.6,5878.0,0.987,15.447,288.51001,41.301769,Sun-like
160,6061119,K00846.01,Kepler-699 b,CONFIRMED,CANDIDATE,0.985,27.807566216,13.84,554.0,22.24,4.21587,25391.0,748.1,5862.0,0.785,15.482,296.88821,41.396091,Sun-like
161,6191521,K00847.01,Kepler-700 b,CONFIRMED,CANDIDATE,0.942,80.8723469,7.59,452.0,9.88,11.195,3604.6,160.9,5510.0,1.238,15.201,287.1543,41.565788,Sun-like
162,6267425,K00848.01,Unnamed,FALSE POSITIVE,FALSE POSITIVE,0.0,3.166465862,26.82,954.0,196.31,2.9381,4357.2,122.1,4968.0,0.704,15.999,284.86929,41.679192,Orange
163,3531558,K00118.01,Kepler-467 b,CONFIRMED,CANDIDATE,0.912,24.99324319,2.29,712.0,60.88,5.9409,269.6,62.0,5718.0,1.317,12.377,287.36279,38.649601,Sun-like
164,6276477,K00849.01,Kepler-701 b,CONFIRMED,CANDIDATE,1.0,10.35533116,2.47,777.0,86.22,3.1775,750.6,49.2,5501.0,0.918,15.018,288.9942,41.633282,Sun-like
165,6863998,K00867.01,Kepler-709 b,CONFIRMED,CANDIDATE,1.0,16.08518937,3.68,613.0,33.43,3.984,1442.4,62.6,5239.0,0.826,15.219,292.10519,42.380322,Sun-like
166,6867155,K00868.01,Unnamed,CANDIDATE,CANDIDATE,0.998,235.9986399,10.59,188.0,0.29,8.2284,20715.0,271.8,4245.0,0.657,15.172,293.00797,42.307201,Orange
167,6948054,K00869.01,Kepler-245 b,CONFIRMED,CANDIDATE,1.0,7.49018305,2.56,753.0,76.06,2.7297,1123.6,53.0,5103.0,0.787,15.599,291.63898,42.436321,Orange
168,6948054,K00869.02,Kepler-245 d,CONFIRMED,CANDIDATE,1.0,36.2761238,3.03,445.0,9.29,4.7865,1572.6,45.5,5103.0,0.787,15.599,291.63898,42.436321,Orange
169,6948054,K00869.03,Kepler-245 c,CONFIRMED,CANDIDATE,1.0,17.46087931,2.32,568.0,24.6,2.2641,812.4,22.6,5103.0,0.787,15.599,291.63898,42.436321,Orange
170,6435936,K00854.01,Kepler-705 b,CONFIRMED,CANDIDATE,0.996,56.0560754,1.94,233.0,0.69,4.685,1626.0,27.4,3593.0,0.491,15.849,289.50848,41.812119,Red Dwarf
171,6522242,K00855.01,Kepler-706 b,CONFIRMED,CANDIDATE,0.974,41.408316686,11.38,453.0,9.93,5.0264,22839.0,907.8,5522.0,0.747,15.196,291.76041,41.944069,Sun-like
172,6526710,K00856.01,Unnamed,CANDIDATE,CANDIDATE,0.994,39.74893077,14.21,552.0,21.87,7.3051,15179.0,561.1,6122.0,0.964,15.344,293.17929,41.969238,White
173,6587280,K00857.01,Kepler-243 b,CONFIRMED,CANDIDATE,1.0,5.715425977,2.47,850.0,123.03,2.5242,908.1,59.4,5237.0,0.826,15.086,285.11047,42.033958,Sun-like
174,9471974,K00119.01,Kepler-108 b,CONFIRMED,CANDIDATE,0.959,49.18394185,8.2,669.0,47.4,11.3364,1646.2,355.7,5626.0,2.057,12.654,294.55917,46.062328,Sun-like
